n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
10,2,3,2,True,1,0.0,4.6341069676006175,2.5543033022423898
10,2,3,2,True,2,0.0,4.82958248652032,2.588442097054588
50,2,3,2,True,1,0.0,4.466187601680795,2.5133341131334435
50,2,3,2,True,2,0.0,4.567792517895092,2.5417995364392882
100,2,3,2,True,1,0.0,4.537070758739957,2.530102176432855
100,2,3,2,True,2,0.0,4.429259543415135,2.5079041020085606
1000,2,3,2,True,1,0.0,4.452378290916407,2.5093777765604157
1000,2,3,2,True,2,0.0,4.402817580484359,2.4948321851997464
10,2,4,2,True,1,0.0,4.6341069676006175,2.5543033022423898
10,2,4,2,True,2,0.0,4.82958248652032,2.588442097054588
50,2,4,2,True,1,0.0,4.466187601680795,2.5133341131334435
50,2,4,2,True,2,0.0,4.567792517895092,2.5417995364392882
100,2,4,2,True,1,0.0,4.537070758739957,2.530102176432855
100,2,4,2,True,2,0.0,4.429259543415135,2.5079041020085606
1000,2,4,2,True,1,0.0,4.452378290916407,2.5093777765604157
1000,2,4,2,True,2,0.0,4.402817580484359,2.4948321851997464
10,2,2,3,True,1,0.0,4.6341069676006175,2.5543033022423898
10,2,2,3,True,2,0.0,4.82958248652032,2.588442097054588
50,2,2,3,True,1,0.0,4.466187601680795,2.5133341131334435
50,2,2,3,True,2,0.0,4.567792517895092,2.5417995364392882
100,2,2,3,True,1,0.0,4.537070758739957,2.530102176432855
100,2,2,3,True,2,0.0,4.429259543415135,2.5079041020085606
1000,2,2,3,True,1,0.0,4.452378290916407,2.5093777765604157
1000,2,2,3,True,2,0.0,4.402817580484359,2.4948321851997464
10,2,3,3,True,1,0.0,4.6341069676006175,2.5543033022423898
10,2,3,3,True,2,0.0,4.82958248652032,2.588442097054588
50,2,3,3,True,1,0.0,4.466187601680795,2.5133341131334435
50,2,3,3,True,2,0.0,4.567792517895092,2.5417995364392882
100,2,3,3,True,1,0.0,4.537070758739957,2.530102176432855
100,2,3,3,True,2,0.0,4.429259543415135,2.5079041020085606
1000,2,3,3,True,1,0.0,4.452378290916407,2.5093777765604157
1000,2,3,3,True,2,0.0,4.402817580484359,2.4948321851997464
10,2,4,3,True,1,0.0,4.6341069676006175,2.5543033022423898
10,2,4,3,True,2,0.0,4.82958248652032,2.588442097054588
50,2,4,3,True,1,0.0,4.466187601680795,2.5133341131334435
50,2,4,3,True,2,0.0,4.567792517895092,2.5417995364392882
100,2,4,3,True,1,0.0,4.537070758739957,2.530102176432855
100,2,4,3,True,2,0.0,4.429259543415135,2.5079041020085606
1000,2,4,3,True,1,0.0,4.452378290916407,2.5093777765604157
1000,2,4,3,True,2,0.0,4.402817580484359,2.4948321851997464
10,2,2,1,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,2,1,True,2,1.0,4.82958248652032,2.588442097054588
50,2,2,1,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,2,1,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,2,1,True,1,1.0,4.537070758739957,2.530102176432855
100,2,2,1,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,2,1,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,2,1,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,3,1,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,3,1,True,2,1.0,4.82958248652032,2.588442097054588
50,2,3,1,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,3,1,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,3,1,True,1,1.0,4.537070758739957,2.530102176432855
100,2,3,1,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,3,1,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,3,1,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,4,1,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,4,1,True,2,1.0,4.82958248652032,2.588442097054588
50,2,4,1,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,4,1,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,4,1,True,1,1.0,4.537070758739957,2.530102176432855
100,2,4,1,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,4,1,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,4,1,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,2,2,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,2,2,True,2,1.0,4.82958248652032,2.588442097054588
50,2,2,2,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,2,2,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,2,2,True,1,1.0,4.537070758739957,2.530102176432855
100,2,2,2,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,2,2,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,2,2,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,3,2,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,3,2,True,2,1.0,4.82958248652032,2.588442097054588
50,2,3,2,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,3,2,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,3,2,True,1,1.0,4.537070758739957,2.530102176432855
100,2,3,2,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,3,2,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,3,2,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,4,2,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,4,2,True,2,1.0,4.82958248652032,2.588442097054588
50,2,4,2,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,4,2,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,4,2,True,1,1.0,4.537070758739957,2.530102176432855
100,2,4,2,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,4,2,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,4,2,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,2,3,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,2,3,True,2,1.0,4.82958248652032,2.588442097054588
50,2,2,3,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,2,3,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,2,3,True,1,1.0,4.537070758739957,2.530102176432855
100,2,2,3,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,2,3,True,1,1.0,4.452378290916407,2.5093777765604157
1000,2,2,3,True,2,1.0,4.402817580484359,2.4948321851997464
10,2,3,3,True,1,1.0,4.6341069676006175,2.5543033022423898
10,2,3,3,True,2,1.0,4.82958248652032,2.588442097054588
50,2,3,3,True,1,1.0,4.466187601680795,2.5133341131334435
50,2,3,3,True,2,1.0,4.567792517895092,2.5417995364392882
100,2,3,3,True,1,1.0,4.537070758739957,2.530102176432855
100,2,3,3,True,2,1.0,4.429259543415135,2.5079041020085606
1000,2,3,3,True,1,1.0,4.452378290916407,2.5093777765604157
